sites_ID;Class;Order;Family;Subfamily;Tribe;Genus;Species;Species Authors;;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Biblidinae;New tribe;Eunica;Eunica_maja;(Fabricius, 1775);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Biblidinae;New tribe;Eunica;Eunica_margarita;(Godart, [1824]);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Biblidinae;New tribe;Eunica;Eunica_eburnea;Fruhstorfer, 1907;;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Biblidinae;New tribe;Eunica;Eunica_tatila;(Herrich-Sch�ffer, [1855]);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Epiphilini;Pyrrhogyra;Pyrrhogyra_neaerea;(Linnaeus, 1758);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Epiphilini;Temenis;Temenis_laothoe;(Cramer, 1777);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Epiphilini;Nica;Nica_flavilla;(Godart, [1824]);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Epiphilini;Epiphile;Epiphile_orea;(H�bner, [1823]);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Epiphilini;Epiphile;Epiphile_hubneri;Hewitson, 1861;;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Callicorini;Haematera;Haematera_pyrame;(H�bner, [1819]);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Callicorini;Paulogramma;Paulogramma_pyracmon;(Godart, [1824]);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Callicorini;Callicore;Callicore_sorana;(Godart, [1824]);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Callicorini;Callicore;Callicore_hydaspes;(Drury, 1782);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Callicorini;Diaethria;Diaethria_clymena;(Cramer, 1775);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Callicorini;Diaethria;Diaethria_candrena;(Godart, [1824]);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Callicorini;Diaethria;Diaethria_eluina;(Hewitson, [1855]);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Nymphalinae;Coeini;Colobura;Colobura_dirce;(Linnaeus, 1758);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Nymphalinae;Coeini;Historis;Historis_acheronta;(Fabricius, 1775);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Nymphalinae;Coeini;Historis;Historis_odius;(Fabricius, 1775);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Nymphalinae;Coeini;Smyrna;Smyrna_blomfildia;(Fabricius, 1781);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Morphini;Morpho;Morpho_aega;(H�bner, [1822]);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Morphini;Morpho;Morpho_portis;(H�bner, [1821]);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Morphini;Morpho;Morpho_anaxibia;(Esper, [1801]);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Morphini;Morpho;Morpho_epistrophus;(Fabricius, 1796);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Brassolini;Brassolis;Brassolis_astyra;Godart, [1824];;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Brassolini;Dynastor;Dynastor_darius;(Fabricius, 1775);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Brassolini;Narope;Narope_cyllastros;E. Doubleday, [1849];;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Brassolini;Opsiphanes;Opsiphanes_invirae;(H�bner, [1808]);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Brassolini;Penetes;Penetes_pamphanis;E. Doubleday, [1849];;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Brassolini;Blepolenis;Blepolenis_catharinae;(Stichel, 1902);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Brassolini;Blepolenis;Blepolenis_bassus;(C. Felder & R. Felder, 1867);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Brassolini;Opoptera;Opoptera_fruhstorferi;(R�ber, 1896);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Brassolini;Opoptera;Opoptera_sulcius;(Staudinger, 1887);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Brassolini;Dasyophthalma;Dasyophthalma_creusa;(H�bner, [1821]);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Brassolini;Dasyophthalma;Dasyophthalma_rusina;(Godart, [1824]);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Brassolini;Catoblepia;Catoblepia_amphirhoe;(H�bner, [1825]);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Brassolini;Eryphanis;Eryphanis_reevesii;(E. Doubleday, [1849]);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Brassolini;Caligo;Caligo_beltrao;(Illiger, 1801);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Brassolini;Caligo;Caligo_brasiliensis;(C. Felder, 1862);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Brassolini;Caligo;Caligo_martia;(Godart, [1824]);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Satyrini;Taygetis;Taygetis_ypthima;H�bner, [1821];;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Satyrini;Capronnieria;Capronnieria_galesus;(Godart, [1824]);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Satyrini;Moneuptychia;Moneuptychia_soter;(A. Butler, 1877);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Satyrini;Stegosatyrus;Stegosatyrus_ocelloides;(Schaus, 1902);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Satyrini;Paryphthimoides;Paryphthimoides_poltys;(Prittwitz, 1865);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Satyrini;Paryphthimoides;Paryphthimoides_phronius;(Godart, [1824]);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Satyrini;Paryphthimoides;Paryphthimoides_grimon;(Godart, [1824]);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Satyrini;Yphthimoides;Yphthimoides_ochracea;(A. Butler, 1867);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Satyrini;Forsterinaria;Forsterinaria_quantius;(Godart, [1824]);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Satyrini;Forsterinaria;Forsterinaria_necys;(Godart, [1824]);;;;;;;
