sites_ID;Country;State;Municipality;Study Location;Latitude;Longitude;Precision;Reserve_Area;Altitude;Altitude1km;A_mean_temp;A_rainfall;Olsong200r;Olsoneconame;Ribeirovegtype;BSRs
bor1033;Brazil;ESPIRITO SANTO;SANTA TERESA;Loureiro;-20.04416667;-40.53611111;30;NA;500-600;606;20.68;1298;Atlantic Forests;Bahia coastal forests;Floresta Ombrofila Densa;Bahia
bor1034;Brazil;ESPIRITO SANTO;PEDRO CANARIO;Pedro Canario;-18.18361111;-40.09583333;30;NA;80-100;71;24.11;1228;Atlantic Forests;Bahia coastal forests;Floresta Ombrofila Densa;Bahia
bor1035;Brazil;ESPIRITO SANTO;LINHARES;Floresta Nacional de Goytacazes;-19.43638889;-40.08111111;30;1425.635786;25-35;18;23.61;1193;Atlantic Forests;Bahia coastal forests;Floresta Ombrofila Densa;Bahia
bor1036;Brazil;ESPIRITO SANTO;SANTA LEOPOLDINA;Represa Suica;-20.08222222;-40.56111111;30;NA;200-600;517;21.27;1277;Atlantic Forests;Bahia coastal forests;Floresta Ombrofila Densa;Bahia
bor1037;Brazil;ESPIRITO SANTO;ITAGUACU;Itaguacu;-19.62333333;-40.87416667;30;NA;120-200;249;23.1;1186;Atlantic Forests;Bahia coastal forests;Floresta Ombrofila Densa;Bahia
bor1038;Brazil;ESPIRITO SANTO;BAIXO GUANDU;Baixo Guandu;-19.4675;-41.06388889;30;NA;100-200;139;23.26;1150;Atlantic Forests;Bahia interior forests;Floresta Estacional Semidecidual;Florestas de Interior
bor1039;Brazil;ESPIRITO SANTO;LINHARES;Reserva Natural Vale and Linhares;-19.14861111;-40.04555556;30;21787;20-60;45;23.55;1191;Atlantic Forests;Bahia coastal forests;Floresta Ombrofila Densa;Bahia
bor1040;Brazil;MINAS GERAIS;ALTO DO CAPARAO;Parque Nacional do Caparao;-20.41916667;-41.84416667;30;31762.93446;900-1800;1522;16;1382;Atlantic Forests;Campos Rupestres montane savanna;Floresta Estacional Semidecidual;Florestas de Interior
bor1041;Brazil;MINAS GERAIS;MARLIERIA;Parque Estadual do Rio Doce;-19.8;-42.63333333;12000;35970;260-360;297;22.69;1213;Atlantic Forests;Bahia interior forests;Floresta Estacional Semidecidual;Florestas de Interior
bor1042;Brazil;MINAS GERAIS;BELO HORIZONTE;Barreiro and Parque Municipal Americo Rene Gianetti and Area de Protecao Especial Manancial Cercadinho;-20.004822;-43.998219;Not Precise;NA;1026;1093;19.7;1579;Atlantic Forests;Bahia interior forests;Savana;Florestas de Interior
bor1043;Brazil;MINAS GERAIS;MONTE VERDE;Monte Verde;-22.877483;-46.032097;30;NA;1600-1700;1777;13.3;1796;Atlantic Forests;Serra do Mar coastal forests;Floresta Ombrofila Densa;Serra do Mar
bor1044;Brazil;MINAS GERAIS;EXTREMA;Extrema;-22.9;-46.33333333;12000;NA;1000-1650;1325;15.9;1604;Atlantic Forests;Serra do Mar coastal forests;Floresta Ombrofila Densa;Serra do Mar
bor1045;Brazil;SAO PAULO;SAO VICENTE;Baixada Santista and Parque Estadual  Xixova Japui;-23.99861111;-46.4425;2200;NA;10-200;1;22.79;2512;NA;Southern Atlantic mangroves;Floresta Ombrofila Densa;Serra do Mar
bor1046;Brazil;SAO PAULO;CUBATAO;Vale do Quilombo;-23.81527778;-46.30388889;30;NA;10-200;340;21.24;2902;Atlantic Forests;Serra do Mar coastal forests;Floresta Ombrofila Densa;Serra do Mar
bor1047;Brazil;SAO PAULO;TEODORO SAMPAIO;Teodoro Sampaio and Parque Estadual Morro do Diabo;-22.45;-52.16666667;10000;33845.33;260-460;307;22.48;1159;Atlantic Forests;Alto Parana Atlantic forests;Floresta Estacional Semidecidual;Florestas de Interior
bor1048;Brazil;SAO PAULO;JUNDIAI;Reserva Biologica da Serra do Japi;-23.23111111;-46.93555556;30;2071;700-1000;950;17.17;1373;Atlantic Forests;Serra do Mar coastal forests;Floresta Ombrofila Densa;Serra do Mar
bor1049;Brazil;SAO PAULO;COTIA;Reserva Florestal do Morro Grande;-23.71416667;-46.99694444;30;10600;850-950;917;16.78;1574;Atlantic Forests;Serra do Mar coastal forests;Floresta Ombrofila Densa;Serra do Mar
bor1050;Brazil;SAO PAULO;SAO LUIZ DO PARAITINGA;Sao Luis Do Paraitinga;-23.33333333;-45.33333333;30;NA;900;1035;16.8;1624;Atlantic Forests;Serra do Mar coastal forests;Floresta Ombrofila Densa;Serra do Mar
bor1051;Brazil;SAO PAULO;CAMPINAS;Mata de Santa Genebra;-22.82194444;-47.10805556;30;241.5513778;620;610;20.52;1277;Atlantic Forests;Alto Parana Atlantic forests;Areas de Tensao Ecologica;Florestas de Interior
bor1052;Brazil;SAO PAULO;CAMPINAS;Usina Hidreletrica Salto Grande;-22.93194444;-46.89138889;30;NA;720-750;708;19.08;1302;Atlantic Forests;Serra do Mar coastal forests;Floresta Ombrofila Densa;Serra do Mar
bor1053;Brazil;SAO PAULO;CAMPINAS;Residencial Shangrila;-22.93333333;-47.05;1200;NA;700-750;684;20.22;1338;Atlantic Forests;Alto Parana Atlantic forests;Areas de Tensao Ecologica;Florestas de Interior
bor1054;Brazil;SAO PAULO;ATIBAIA;Atibaia;-23.137418;-46.567749;30;NA;800-830;802;18.45;1359;Atlantic Forests;Serra do Mar coastal forests;Floresta Ombrofila Densa;Serra do Mar
bor1055;Brazil;SAO PAULO;PORTO FERREIRA;Parque Estadual de Porto Ferreira;-21.85138889;-47.42861111;30;680.91;570-600;607;21.78;1346;Atlantic Forests;Alto Parana Atlantic forests;Floresta Estacional Semidecidual;Florestas de Interior
bor1056;Brazil;SAO PAULO;RIBEIRAO GRANDE;Parque Estadual Intervales;-24.27833333;-48.41861111;30;41704;800-900;916;17.4;1420;Atlantic Forests;Alto Parana Atlantic forests;Areas de Tensao Ecologica;Florestas de Interior
bor1057;Brazil;SAO PAULO;CAMPINAS;Refugio de Vida Silvestre Mata Ribeirao Cachoeira;-22.82888889;-46.92361111;30;213.9;640-750;655;19.44;1294;Atlantic Forests;Serra do Mar coastal forests;Floresta Ombrofila Densa;Serra do Mar
bor1058;Brazil;SAO PAULO;ARARAS;Araras and Loreto and Fazenda Santa Cruz;-22.38111111;-47.31888889;30;NA;600-650;610;20.5;1303;Atlantic Forests;Alto Parana Atlantic forests;Floresta Estacional Semidecidual;Florestas de Interior
bor1059;Brazil;SAO PAULO;MIRASSOL;Parque Natural Municipal Grota de Mirassol;-20.825;-49.50972222;120;20.34;520;462;22.55;1224;Atlantic Forests;Alto Parana Atlantic forests;Floresta Estacional Semidecidual;Florestas de Interior
bor1060;Brazil;SAO PAULO;MIRASSOL;Attilo Loqueis;-20.80638889;-49.58916667;30;NA;500;462;22.6;1205;Atlantic Forests;Alto Parana Atlantic forests;Floresta Estacional Semidecidual;Florestas de Interior
bor1061;Brazil;SAO PAULO;CAMPOS DO JORDAO;Parque Estadual Campos do Jord�o;-22.72611111;-45.53444444;30;8341;1600-2000;1773;13.13;1856;Atlantic Forests;Serra do Mar coastal forests;Floresta Ombrofila Densa;Serra do Mar
bor1062;Brazil;SAO PAULO;BOTUCATU;Estacao Ecologica Pavuna;-22.83333333;-48.51666667;30;NA;500;758;19.34;1323;Cerrado Woodlands and Savannas;Cerrado;Savana;Florestas de Interior
bor1063;Brazil;SAO PAULO;SAO JOSE DO RIO PARDO;Fazenda Fortaleza and Usina Itaiquara;-21.46666667;-46.8;12000;NA;900;773;20.29;1451;Atlantic Forests;Alto Parana Atlantic forests;Floresta Estacional Semidecidual;Florestas de Interior
bor1064;Brazil;SAO PAULO;RIO CLARO;Horto Florestal de Rio Claro;-22.421086;-47.531903;30;2230;630-720;609;20.23;1270;Atlantic Forests;Alto Parana Atlantic forests;Floresta Estacional Semidecidual;Florestas de Interior
bor1065;Brazil;SAO PAULO;CAJURU;Cajuru;-21.32222222;-47.28166667;30;NA;700-740;784;20.77;1462;Atlantic Forests;Alto Parana Atlantic forests;Floresta Estacional Semidecidual;Florestas de Interior
bor1066;Brazil;SAO PAULO;PATROCINIO PAULISTA;Fazenda Santa Cec�lia;-20.664522;-47.271435;30;NA;790-800;848;20.76;1537;Cerrado Woodlands and Savannas;Cerrado;Savana;Florestas de Interior
bor1067;Brazil;SAO PAULO;AMPARO;Represa Itapira and Amparo;-22.43333333;-46.8;12000;NA;630-650;751;20.14;1357;Cerrado Woodlands and Savannas;Cerrado;Areas de Tensao Ecologica;Florestas de Interior
bor1068;Brazil;SAO PAULO;CANANEIA;Ilha do Cardoso;-25.185;-47.99527778;Not Precise;NA;0-15;10;NA;NA;Atlantic Forests;Serra do Mar coastal forests;NA;NA
bor1069;Brazil;SAO PAULO;UBATUBA;Parque Estadual da Serra do Mar Nucleo Picinguaba;-23.347353;-44.844806;30;332000;5-100;175;22.4;2561;Atlantic Forests;Serra do Mar coastal forests;NA;NA
bor1070;Brazil;SAO PAULO;UBATUBA;Parque Estadual da Serra do Mar Nucleo Santa Virg�nia;-23.328222;-45.100175;30;332000;980-1070;964;16.8;1768;Atlantic Forests;Serra do Mar coastal forests;Floresta Ombrofila Densa;Serra do Mar
bor1071;Brazil;SAO PAULO;UBATUBA;Sert�o da Praia Dura;-23.47861111;-45.17611111;30;NA;mai/30;69;22.17;2473;Atlantic Forests;Serra do Mar coastal forests;Floresta Ombrofila Densa;Serra do Mar
bor1072;Brazil;SAO PAULO;RIBEIRAO PRETO;Mata Santa Tereza and Esta��o Ecologica de Ribeir�o Preto;-21.23333333;-47.91666667;Not Precise;NA;655-700;613;21.51;1444;Cerrado Woodlands and Savannas;Cerrado;Areas de Tensao Ecologica;Florestas de Interior
bor1073;Brazil;SAO PAULO;PINDAMONHANGABA;Pindamonhangaba and Trabiju;-22.83833333;-45.52305556;30;NA;720-1100;1073;19;1499;Atlantic Forests;Alto Parana Atlantic forests;Floresta Estacional Semidecidual;Florestas de Interior
bor1074;Brazil;SAO PAULO;TAUBATE;Taubate and Canineo, SP;-23.03694444;-45.49277778;30;NA;590-660;603;20.34;1295;Atlantic Forests;Serra do Mar coastal forests;Floresta Ombrofila Densa;Serra do Mar
bor1075;Brazil;BAHIA;WENCESLAU GUIMARAES;Estacao Ecologica de Wenceslau Guimaraes;-13.59527778;-39.71944444;30;2418;200-500;355;20.48;1457;Atlantic Forests;Bahia coastal forests;Floresta Ombrofila Densa;Bahia
bor1076;Brazil;BAHIA;ITABATA;Rio Mucuri and Itabata;-18.09027778;-39.89222222;30;NA;25-90;47;24.05;1313;Atlantic Forests;Bahia coastal forests;Floresta Ombrofila Densa;Bahia
bor1077;Brazil;BAHIA;POTIRAGUA;Distrito de Itaimbe;-15.71222222;-39.57916667;30;NA;250-320;246;22.83;1043;Atlantic Forests;Bahia coastal forests;Floresta Ombrofila Densa;Bahia
bor1078;Brazil;BAHIA;CAMACAN;Camacan;-15.38111111;-39.52333333;30;NA;200-450;147;22.82;1233;Atlantic Forests;Bahia coastal forests;Floresta Ombrofila Densa;Bahia
bor1079;Brazil;BAHIA;ITANHEM;Itanhem;-17.12694444;-40.4225;30;NA;310-430;309;23.13;1102;Atlantic Forests;Bahia interior forests;Floresta Estacional Semidecidual;Florestas de Interior
bor1080;Brazil;BAHIA;UNA;Reserva Biologica de Una;-15.173781;-39.088672;30;18515.14713;60-100;15;24.05;1800;Atlantic Forests;Bahia coastal forests;Areas de Tensao Ecologica;Bahia
bor1081;Brazil;BAHIA;ITAMARAJU;Itamaraju;-16.99861111;-39.58583333;30;NA;100-250;75;23.32;1207;Atlantic Forests;Bahia coastal forests;Floresta Ombrofila Densa;Bahia
bor1082;Brazil;BAHIA;ITANAGRA;Reserva Heritage and Fazenda Lontra and Itanagra, BA;-12.25;-38;1200;NA;60-100;71;24.08;1793;Atlantic Forests;Bahia coastal forests;Floresta Ombrofila Densa;Bahia
bor1083;Brazil;ALAGOAS;MACEIO;Maceio;-9.606111111;-35.70916667;30;NA;40-100;4;24.65;1942;Atlantic Forests;Pernambuco coastal forests;Floresta Ombrofila Aberta;Pernambuco
bor1084;Brazil;ALAGOAS;SAO JOSE DA LAJE;Usina Serra Grande;-8.995;-35.86888889;120;NA;400-500;454;22.05;1686;Atlantic Forests;Pernambuco coastal forests;Floresta Ombrofila Aberta;Pernambuco
bor1085;Brazil;PARAIBA;JOAO PESSOA;Mata do Buraquinho;-7.146388889;-34.86138889;30;519.75;20-45;5;25.64;1902;Atlantic Forests;Pernambuco interior forests;Areas de Tensao Ecologica;Pernambuco
bor1086;Brazil;PERNAMBUCO;CARUARU;Brejo dos cavalos;-8.369444444;-36.06111111;30;NA;850-950;842;19.86;745;NA;Caatinga;Areas de Tensao Ecologica;Brejos Nordestinos
